City,Road_Length_m,Intersections
Ganja,3043615.4226708356,11281
Ganja,0.0,0
Baku,8707162.843402056,50482
Baku,0.0,0
Zaqatala,1518845.8312583491,5404
Zaqatala,0.0,0
Lankaran,1828292.2776689366,6140
Lankaran,0.0,0
Shaki,1514715.9465595344,6254
Shaki,0.0,0
Jalilabad,1345778.9478728764,4535
Jalilabad,0.0,0
Sumqayit,4129041.7227339926,23575
Sumqayit,0.0,0
Mingachevir,1328241.6863811584,5021
Mingachevir,0.0,0
Shirvan,1683087.1876604694,6005
Shirvan,0.0,0
Quba,2791255.772220411,9707
Quba,0.0,0
Khachmaz,2435371.0309158703,8672
Khachmaz,0.0,0
Yevlakh,1655948.5749169453,5558
Yevlakh,0.0,0
Gabala,1645816.1639947544,5587
Gabala,0.0,0
Shamakhi,1413728.286595527,5677
Shamakhi,0.0,0
Nakhchivan,919704.7767294894,2848
Nakhchivan,0.0,0
Barda,2047001.2351797544,5201
Barda,0.0,0
