feature,gain
is_summer,0.4047
month,0.0595
humid_roll24_min,0.0536
temp_roll24_mean,0.0514
Urban_pct,0.0471
dry_streak,0.0456
rain_roll24_sum,0.039
ISI_h,0.0253
Trees_pct,0.0241
Pop_Total,0.0235
is_dry_hour,0.0231
Wind_Speed_kmh,0.0225
Elevation,0.0208
doy_cos,0.0205
dayofyear,0.0196
Slope,0.0187
FFMC_h,0.0159
doy_sin,0.0136
Rain_mm,0.0124
rain_roll168_sum,0.0117
temp_roll168_mean,0.0109
Humidity_percent,0.0093
Temperature_C,0.0086
hour,0.0061
hour_cos,0.0053
hour_sin,0.0039
dayofweek,0.0034
Pressure_hPa,0.0
Wind_Direction_deg,0.0
Soil_Moisture,0.0
Solar_Radiation_Wm2,0.0
Soil_Temp_C,0.0
is_daytime,0.0
